generation,genome,fitness
14,3.33887,3.21129
14,3.33887,3.21129
14,3.60171,1.06966
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.31115,3.16123
15,3.33887,3.21129
15,2.8525,-0.822708
15,3.07101,-0.202791
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.32446,3.19784
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.62624,0.949871
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,2.87579,-1.00671
15,3.33887,3.21129
15,3.24426,2.63199
15,3.57927,1.22227
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.33887,3.21129
15,3.56876,1.30665
15,3.33887,3.21129
15,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.21672,2.26505
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.55832,1.39779
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.70853,0.91652
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,2.89856,-1.14298
16,3.33887,3.21129
16,3.34864,3.20527
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.33887,3.21129
16,3.25992,2.80509
16,3.33887,3.21129
16,3.80083,1.33615
16,3.63776,0.91149
16,3.33887,3.21129
16,3.33887,3.21129
16,3.82148,1.44235
16,3.33887,3.21129
17,3.33887,3.21129
17,3.81741,1.42209
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.54749,1.49919
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.72393,0.964888
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.06407,-0.305806
17,3.33887,3.21129
17,3.037,-0.665678
17,3.33887,3.21129
17,3.33887,3.21129
17,3.08704,0.0492322
17,2.93131,-1.2447
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.03532,-0.685591
17,3.6263,0.949675
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.33887,3.21129
17,3.76857,1.16534
17,3.33887,3.21129
17,2.9914,-1.08884
17,3.33887,3.21129
17,3.07113,-0.200964
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
18,3.73067,0.990112
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
18,3.07385,-0.159558
18,3.60204,1.06774
18,3.33887,3.21129
18,3.33887,3.21129
18,3.81599,1.4149
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
18,3.45946,2.4505
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
18,3.10081,0.278785
18,3.33887,3.21129
18,3.33887,3.21129
18,3.54503,1.52309
18,3.33887,3.21129
18,3.19186,1.87787
18,3.7681,1.16294
18,3.03865,-0.645884
18,3.07113,-0.200964
18,3.33887,3.21129
18,3.0454,-0.561712
18,3.39717,3.00886
18,3.51595,1.82563
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
18,3.60812,1.03347
18,3.33887,3.21129
18,3.75351,1.09022
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
18,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.13517,0.884509
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,2.9721,-1.18968
19,2.84281,-0.735546
19,3.33887,3.21129
19,3.75893,1.11663
19,3.33887,3.21129
19,3.83079,1.4872
19,3.39717,3.00886
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.35509,3.19475
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.26007,2.8066
19,3.33887,3.21129
19,3.75185,1.08232
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,2.89069,-1.10138
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.33887,3.21129
19,3.48013,2.22426
19,3.33887,3.21129
19,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.24722,2.66682
20,3.33887,3.21129
20,3.04049,-0.623459
20,3.33887,3.21129
20,3.68283,0.869707
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.41404,2.88456
20,3.40194,2.97624
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.18383,1.74416
20,3.37978,3.10902
20,3.33887,3.21129
20,3.33887,3.21129
20,3.16224,1.36969
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.10214,0.301567
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.01868,-0.865556
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
20,3.33887,3.21129
21,3.61998,0.975596
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.70235,0.901128
21,3.33887,3.21129
21,3.33887,3.21129
21,3.25164,2.71702
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.45955,2.44958
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.63798,0.910867
21,3.33887,3.21129
21,3.24257,2.61166
21,3.33887,3.21129
21,3.55104,1.46521
21,3.33887,3.21129
21,3.05435,-0.443196
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,2.95752,-1.23378
21,3.33887,3.21129
21,3.33887,3.21129
21,3.49216,2.08969
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.33887,3.21129
21,3.11165,0.465995
21,3.33887,3.21129
21,3.33887,3.21129
22,3.33887,3.21129
22,3.71347,0.930512
22,3.33887,3.21129
22,3.33887,3.21129
22,2.96197,-1.22326
22,3.33887,3.21129
22,3.33887,3.21129
22,3.29326,3.07528
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.10963,0.430801
22,3.33887,3.21129
22,3.33887,3.21129
22,3.45023,2.54751
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,2.96856,-1.20293
22,3.33887,3.21129
22,3.33887,3.21129
22,3.02587,-0.79164
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.14248,1.0159
22,2.93605,-1.24907
22,3.60809,1.03363
22,2.94779,-1.24794
22,3.33887,3.21129
22,3.33887,3.21129
22,3.33887,3.21129
22,3.80502,1.35822
22,3.09141,0.121027
22,3.33887,3.21129
22,3.33887,3.21129
23,3.33887,3.21129
23,3.33887,3.21129
23,3.33887,3.21129
23,3.14557,1.07156
23,3.33887,3.21129
