generation,genome,fitness
3,3.37317,3.13877
4,3.26645,2.86887
4,3.33201,3.20824
4,3.33201,3.20824
4,3.9175,1.71073
4,3.33201,3.20824
4,3.33201,3.20824
4,3.33201,3.20824
4,3.44332,2.61771
4,3.33201,3.20824
4,3.25556,2.75976
4,3.33201,3.20824
4,3.61834,0.982864
4,3.26645,2.86887
4,3.39882,2.99782
4,3.33201,3.20824
4,3.4012,2.98145
4,2.91833,-1.2189
4,3.33201,3.20824
4,3.34023,3.21117
4,3.33201,3.20824
4,3.33201,3.20824
4,2.83733,-0.684128
4,3.62818,0.94263
4,3.33201,3.20824
4,3.39882,2.99782
4,3.33201,3.20824
4,2.95009,-1.24569
4,3.35182,3.20073
4,3.34023,3.21117
4,2.96886,-1.20188
4,3.43823,2.66796
4,3.26059,2.81186
4,3.43823,2.66796
4,2.95451,-1.23945
4,3.33201,3.20824
4,3.33201,3.20824
4,3.06089,-0.35167
4,3.33201,3.20824
4,3.33201,3.20824
4,3.43823,2.66796
4,3.33201,3.20824
4,3.33201,3.20824
4,3.33201,3.20824
4,3.44402,2.61076
4,3.77,1.17273
4,3.37317,3.13877
4,3.33201,3.20824
4,3.74366,1.04457
4,3.43823,2.66796
4,3.43823,2.66796
5,2.98647,-1.11916
5,3.33201,3.20824
5,3.33201,3.20824
5,2.91267,-1.20157
5,3.33201,3.20824
5,3.33201,3.20824
5,3.25656,2.77034
5,3.33201,3.20824
5,3.33201,3.20824
5,3.26645,2.86887
5,3.30196,3.12234
5,3.34023,3.21117
5,3.34023,3.21117
5,3.33201,3.20824
5,3.33201,3.20824
5,3.33201,3.20824
5,3.34023,3.21117
5,3.33201,3.20824
5,2.95305,-1.24179
5,3.37647,3.12454
5,3.33201,3.20824
5,3.33201,3.20824
5,3.33201,3.20824
5,3.33201,3.20824
5,3.34023,3.21117
5,3.33201,3.20824
5,3.4012,2.98145
5,3.34023,3.21117
5,3.35182,3.20073
5,3.33201,3.20824
5,3.33201,3.20824
5,3.09145,0.121677
5,3.39882,2.99782
5,3.34023,3.21117
5,3.33201,3.20824
5,3.36604,3.16543
5,3.33201,3.20824
5,3.33201,3.20824
5,3.33201,3.20824
5,3.56122,1.37182
5,3.33201,3.20824
5,3.33201,3.20824
5,3.34023,3.21117
5,3.33201,3.20824
5,2.88801,-1.08584
5,3.33201,3.20824
5,3.22336,2.36025
5,3.33201,3.20824
5,3.34023,3.21117
5,3.33201,3.20824
6,3.34023,3.21117
6,3.4429,2.62193
6,3.34023,3.21117
6,3.33201,3.20824
6,3.33201,3.20824
6,3.33201,3.20824
6,3.34023,3.21117
6,2.94944,-1.2464
6,3.09145,0.121677
6,3.34023,3.21117
6,3.34023,3.21117
6,3.33201,3.20824
6,3.33201,3.20824
6,3.34023,3.21117
6,3.45951,2.45006
6,3.34023,3.21117
6,3.34023,3.21117
6,3.33201,3.20824
6,3.06526,-0.288427
6,3.34023,3.21117
6,3.33201,3.20824
6,3.34023,3.21117
6,3.33201,3.20824
6,3.22737,2.41572
6,3.33201,3.20824
6,3.52,1.78172
6,3.34023,3.21117
6,3.34023,3.21117
6,3.33201,3.20824
6,3.33201,3.20824
6,3.34023,3.21117
6,3.34023,3.21117
6,3.34023,3.21117
6,3.33201,3.20824
6,3.33201,3.20824
6,3.33201,3.20824
6,2.83736,-0.684365
6,3.34023,3.21117
6,3.34023,3.21117
6,3.33201,3.20824
6,3.22449,2.37599
6,3.33201,3.20824
6,3.33201,3.20824
6,3.33201,3.20824
6,3.33201,3.20824
6,3.34023,3.21117
6,3.33331,3.20928
6,3.34023,3.21117
6,3.33201,3.20824
6,3.33201,3.20824
7,3.34023,3.21117
7,3.33201,3.20824
7,3.16076,1.34341
7,3.34023,3.21117
7,3.33201,3.20824
7,3.33201,3.20824
7,3.33201,3.20824
7,3.34023,3.21117
7,3.31903,3.18573
7,3.34023,3.21117
7,3.34023,3.21117
7,3.34023,3.21117
7,3.34023,3.21117
7,3.33201,3.20824
7,3.34023,3.21117
7,3.34023,3.21117
7,3.12073,0.626166
7,3.34023,3.21117
7,3.34023,3.21117
7,3.64074,0.90342
7,3.34023,3.21117
7,3.34023,3.21117
7,3.52298,1.74971
7,3.33201,3.20824
7,3.34023,3.21117
7,3.7051,0.907676
7,3.34023,3.21117
7,3.34023,3.21117
7,3.34023,3.21117
7,3.79557,1.30822
7,3.68713,0.874271
7,3.34023,3.21117
7,3.34023,3.21117
7,3.33201,3.20824
7,3.34023,3.21117
7,3.33201,3.20824
7,3.34023,3.21117
7,2.95534,-1.23801
7,3.34023,3.21117
7,3.34023,3.21117
7,3.34023,3.21117
7,3.09758,0.223993
7,3.27852,2.97302
7,3.34023,3.21117
7,3.34023,3.21117
7,2.84607,-0.76551
7,3.34023,3.21117
7,3.67599,0.865359
7,3.34023,3.21117
7,3.34023,3.21117
8,3.32881,3.20474
8,3.33887,3.21129
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.33201,3.20824
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,2.99997,-1.02871
8,3.34023,3.21117
8,3.48241,2.19883
8,3.41501,2.87666
8,3.34023,3.21117
8,3.34023,3.21117
8,3.4031,2.96803
8,3.34023,3.21117
8,3.50536,1.94223
8,3.34023,3.21117
8,3.57316,1.27039
8,3.34023,3.21117
8,3.34023,3.21117
8,3.01014,-0.945349
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,2.86419,-0.919957
8,3.34023,3.21117
8,3.23214,2.4797
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.29134,3.06356
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.34023,3.21117
8,3.40078,2.98438
8,3.34023,3.21117
9,2.96769,-1.20592
9,3.34023,3.21117
9,2.84583,-0.763275
9,3.02518,-0.798952
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.33887,3.21129
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.81536,1.41172
9,3.72163,0.956822
9,3.34023,3.21117
9,3.34023,3.21117
9,3.33887,3.21129
9,3.4005,2.98634
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.49022,2.11137
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.06096,-0.35075
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.39427,3.02768
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
9,3.33887,3.21129
9,3.34023,3.21117
9,3.34023,3.21117
9,3.34023,3.21117
10,3.34023,3.21117
10,3.3409,3.21103
10,3.30229,3.12392
10,2.9564,-1.23603
10,3.34023,3.21117
10,3.34023,3.21117
10,3.44251,2.62586
10,3.34023,3.21117
10,3.33887,3.21129
10,3.34023,3.21117
10,3.34023,3.21117
10,3.33887,3.21129
10,3.33887,3.21129
10,3.33887,3.21129
10,3.33887,3.21129
10,3.66403,0.866659
10,3.34023,3.21117
10,3.33887,3.21129
10,3.33887,3.21129
10,3.34023,3.21117
10,3.33887,3.21129
